"TableName","FileName","SizeBytes","FullName"
"staging_tipoins","tipoins.dbf","515","C:\data\tipoins.dbf"
"staging_tiporeg","tiporeg.dbf","599","C:\data\tiporeg.dbf"
"staging_discapacidad","discapacidad.dbf","681","C:\data\discapacidad.dbf"
"staging_part","part.DBF","744","C:\data\part.DBF"
"staging_dep","dep.dbf","995","C:\data\dep.dbf"
"staging_tgen","tgen.DBF","1417","C:\data\tgen.DBF"
"staging_pueblo_indigena","pueblo_indigena.dbf","2601","C:\data\pueblo_indigena.dbf"
"staging_nacionalidades","nacionalidades.dbf","12373","C:\data\nacionalidades.dbf"
"staging_dis","dis.dbf","15377","C:\data\dis.dbf"
"staging_zon","zon.dbf","21129","C:\data\zon.dbf"
"staging_comunidad_indigena","comunidad_indigena.dbf","77112","C:\data\comunidad_indigena.dbf"
"staging_loc","loc.dbf","166887","C:\data\loc.dbf"
"staging_desafiliaciones","desafiliaciones.dbf","2804881","C:\data\desafiliaciones.dbf"
"staging_desh_exte","desh_exte.dbf","4830221","C:\data\desh_exte.dbf"
"staging_boletas_deshabilitadas","boletas_deshabilitadas.dbf","5199425","C:\data\boletas_deshabilitadas.dbf"
"staging_regciv_exte","regciv_exte.dbf","15293597","C:\data\regciv_exte.dbf"
"staging_ciudades","ciudades.dbf","22611614","C:\data\ciudades.dbf"
"staging_dobles","dobles.dbf","232222461","C:\data\dobles.dbf"
"staging_inhabilitados","inhabilitados.dbf","306184556","C:\data\inhabilitados.dbf"
"staging_regciv","regciv.dbf","1334923465","C:\data\regciv.dbf"
