"table","file","size_bytes","status","started_at","ended_at","exit_code","duration_seconds","message"
"staging_tipoins","tipoins.dbf",515,"ok","2026-07-18T20:18:15.1976696-03:00","2026-07-18T20:18:26.1397757-03:00",0,11,""
"staging_tiporeg","tiporeg.dbf",599,"ok","2026-07-18T20:18:26.1577326-03:00","2026-07-18T20:18:35.6532780-03:00",0,9,""
"staging_discapacidad","discapacidad.dbf",681,"ok","2026-07-18T20:18:35.6532780-03:00","2026-07-18T20:18:44.8131668-03:00",0,9,""
"staging_part","part.DBF",744,"ok","2026-07-18T20:18:44.8131668-03:00","2026-07-18T20:18:56.7464653-03:00",0,12,""
"staging_dep","dep.dbf",995,"ok","2026-07-18T20:18:56.7464653-03:00","2026-07-18T20:19:07.1969836-03:00",0,10,""
"staging_tgen","tgen.DBF",1417,"ok","2026-07-18T20:19:07.1969836-03:00","2026-07-18T20:19:17.1358505-03:00",0,10,""
"staging_pueblo_indigena","pueblo_indigena.dbf",2601,"ok","2026-07-18T20:19:17.1470283-03:00","2026-07-18T20:19:25.6579227-03:00",0,9,""
"staging_nacionalidades","nacionalidades.dbf",12373,"ok","2026-07-18T20:19:25.6612519-03:00","2026-07-18T20:19:35.8114256-03:00",0,10,""
"staging_dis","dis.dbf",15377,"ok","2026-07-18T20:19:35.8114256-03:00","2026-07-18T20:19:46.1771530-03:00",0,10,""
"staging_zon","zon.dbf",21129,"ok","2026-07-18T20:19:46.1771530-03:00","2026-07-18T20:19:56.7930054-03:00",0,11,""
"staging_comunidad_indigena","comunidad_indigena.dbf",77112,"ok","2026-07-18T20:19:56.7950154-03:00","2026-07-18T20:20:06.7921521-03:00",0,10,""
"staging_loc","loc.dbf",166887,"ok","2026-07-18T20:20:06.7925650-03:00","2026-07-18T20:20:18.4921554-03:00",0,12,""
"staging_desafiliaciones","desafiliaciones.dbf",2804881,"ok","2026-07-18T20:20:18.5086056-03:00","2026-07-18T20:20:33.6599199-03:00",0,15,""
"staging_desh_exte","desh_exte.dbf",4830221,"ok","2026-07-18T20:20:33.6599199-03:00","2026-07-18T20:20:57.3569196-03:00",0,24,""
"staging_boletas_deshabilitadas","boletas_deshabilitadas.dbf",5199425,"ok","2026-07-18T20:20:57.3569196-03:00","2026-07-18T20:21:33.4883247-03:00",0,36,""
"staging_regciv_exte","regciv_exte.dbf",15293597,"ok","2026-07-18T20:21:33.4883247-03:00","2026-07-18T20:22:06.6708251-03:00",0,33,""
"staging_ciudades","ciudades.dbf",22611614,"ok","2026-07-18T20:22:06.6810007-03:00","2026-07-18T20:22:33.2519842-03:00",0,27,""
"staging_dobles","dobles.dbf",232222461,"ok","2026-07-18T20:22:33.2519842-03:00","2026-07-18T20:27:42.7048017-03:00",0,309,""
"staging_inhabilitados","inhabilitados.dbf",306184556,"ok","2026-07-18T20:27:42.7048017-03:00","2026-07-18T20:29:49.3094018-03:00",0,127,""
"staging_regciv","regciv.dbf",1334923465,"failed","2026-07-18T20:29:49.3094018-03:00","2026-07-18T20:44:58.5854179-03:00",1,909,"ERROR 1: ERROR:  cannot execute COPY FROM in a read-only transaction"
